Sondagem,PSD,PS,CDS,BE,CDU,PAN,L,IL,CHE,OBN,Tamanho Amostra,Data,w_poll
AGREGADO,31.9,36.3,1.6,6.3,4.8,2.2,1.5,4.3,6.9,4.2,3768,NaT,
Pitagórica,30.9,36.6,1.8,6.7,4.2,1.0,1.6,3.8,6.7,6.7,608,2022-01-25,2.8117
Aximage,34.4,33.8,1.6,6.6,4.5,3.2,1.4,2.8,8.0,3.7,965,2022-01-21,2.662
Pitagórica,34.5,33.5,0.8,5.7,4.7,1.6,1.2,5.7,6.5,5.9,608,2022-01-21,1.4941
CESOP-UCP,33.0,37.0,2.0,5.0,5.0,2.0,2.0,5.0,6.0,3.0,1017,2022-01-18,2.2056999999999998
Pitagórica,30.4,39.8,1.3,4.5,5.8,1.7,1.5,4.3,7.5,3.2,608,2022-01-17,0.7939
Pitagórica,29.7,38.9,1.7,6.2,4.6,2.1,1.2,5.4,6.9,3.3,608,2022-01-13,0.4219
Aximage,28.5,38.1,1.8,7.4,4.8,2.1,,3.7,9.0,4.6,807,2022-01-12,0.9051
CESOP-UCP,30.0,39.0,2.0,6.0,5.0,3.0,2.0,4.0,6.0,3.0,823,2022-01-10,0.7923
Intercampus,29.3,35.3,1.1,8.5,6.0,4.3,0.6,5.6,7.1,2.2,615,2022-01-10,0.9686
Pitagórica,30.0,39.6,1.5,6.4,5.1,1.8,,5.1,5.7,4.8,600,2022-01-09,0.2227
CESOP-UCP,32.0,38.0,2.0,6.0,6.0,2.0,1.0,5.0,5.0,3.0,885,2022-01-05,0.4065
